cell_segid,centroid_x,centroid_y,centroid_z,cell_type_x,cell_subtype,id,cell_type_y,pt_position,soma_x_nm,soma_y_nm,soma_z_nm
648518346349538237,41760,60256,1702,pyramidal,pyramidal cell,289,e,[42065 60352  1724],168260,168260,1682600
648518346349536816,98128,39856,218,pyramidal,pyramidal cell,281,e,[98028 39919   232],392112,392112,3921120
648518346349539797,51248,50608,86,pyramidal,pyramidal cell,283,e,[51691 50574   126],206764,206764,2067640
648518346349536851,104928,72496,1448,pyramidal,pyramidal cell,236,e,[104870  72471   1446],419480,419480,4194800
648518346349522862,58128,35616,2059,pyramidal,pyramidal cell,202,e,[58210 35590  2059],232840,232840,2328400
648518346349492130,72944,35952,2038,pyramidal,pyramidal cell,310,e,[72871 36371  2024],291484,291484,2914840
648518346349531834,73744,68480,1228,pyramidal,pyramidal cell,173,e,[73784 68371  1241],295136,295136,2951360
648518346349532050,118240,64352,2044,pyramidal,pyramidal cell,222,e,[118259  64325   2050],473036,473036,4730360
648518346349538475,55184,68480,664,pyramidal,pyramidal cell,319,e,[55166 68435   647],220664,220664,2206640
648518346349538733,48864,66896,2058,pyramidal,pyramidal cell,355,e,[48937 66938  2061],195748,195748,1957480
648518346349537071,47840,46080,1999,pyramidal,pyramidal cell,285,e,[48536 46212  2016],194144,194144,1941440
648518346349535286,48048,74192,1520,pyramidal,pyramidal cell,251,e,[48000 73540  1531],192000,192000,1920000
648518346349523129,110640,78688,1695,pyramidal,pyramidal cell,308,e,[110294  77706   1703],441176,441176,4411760
648518346349533252,43968,72624,1439,pyramidal,pyramidal cell,252,e,[44147 72783  1430],176588,176588,1765880
648518346349524933,50128,64192,1379,pyramidal,pyramidal cell,333,e,[49998 64172  1410],199992,199992,1999920
648518346349539891,111520,51344,946,pyramidal,pyramidal cell,63,e,[111652  51378    952],446608,446608,4466080
648518346349538001,72752,75248,738,pyramidal,pyramidal cell,247,e,[72687 74366   735],290748,290748,2907480
648518346349539414,103552,58464,1209,pyramidal,pyramidal cell,47,e,[103519  58447   1232],414076,414076,4140760
648518346349492197,67920,39584,2148,pyramidal,pyramidal cell,216,e,[67737 39522  2156],270948,270948,2709480
648518346349536478,46672,66368,346,pyramidal,pyramidal cell,259,e,[46905 66414   362],187620,187620,1876200
648518346349539895,77456,49968,1443,pyramidal,pyramidal cell,94,e,[77182 50248  1467],308728,308728,3087280
648518346349539462,60496,47376,949,pyramidal,pyramidal cell,10,e,[60788 47469   956],243152,243152,2431520
648518346349538251,83552,72496,1215,pyramidal,pyramidal cell,139,e,[83621 72675  1222],334484,334484,3344840
648518346349539068,65456,51136,967,pyramidal,pyramidal cell,11,e,[65539 51308   977],262156,262156,2621560
648518346349539593,79536,58176,857,pyramidal,pyramidal cell,113,e,[79647 58292   869],318588,318588,3185880
648518346349537913,71600,48640,1236,pyramidal,pyramidal cell,81,e,[71261 48556  1224],285044,285044,2850440
648518346349537827,70608,51760,23,pyramidal,pyramidal cell,232,e,[70476 52101    31],281904,281904,2819040
648518346349539437,76832,47904,311,pyramidal,pyramidal cell,103,e,[76712 47989   306],306848,306848,3068480
648518346349538312,76080,45936,2134,pyramidal,pyramidal cell,209,e,[76080 45938  2156],304320,304320,3043200
648518346349539890,75136,45888,105,pyramidal,pyramidal cell,25,e,[75233 45884    99],300932,300932,3009320
648518346349539819,97456,60176,1014,pyramidal,pyramidal cell,44,e,[97191 60089  1005],388764,388764,3887640
648518346349535007,74688,72496,458,pyramidal,pyramidal cell,452,e,[74835 72562   436],299340,299340,2993400
648518346349539093,91344,66304,1223,pyramidal,pyramidal cell,303,e,[91819 65913  1226],367276,367276,3672760
648518346349531327,89888,41760,1979,pyramidal,pyramidal cell,165,e,[89796 41797  1984],359184,359184,3591840
648518346349538391,100688,70432,289,pyramidal,pyramidal cell,263,e,[100601  70453    289],402404,402404,4024040
648518346349539863,89696,67552,966,pyramidal,pyramidal cell,140,e,[89838 67469   961],359352,359352,3593520
648518346349539844,107968,60336,96,pyramidal,pyramidal cell,132,e,[108021  60298     90],432084,432084,4320840
648518346349539471,108560,72496,1285,pyramidal,pyramidal cell,350,e,[108636  72587   1290],434544,434544,4345440
648518346349538414,81344,50240,2154,pyramidal,pyramidal cell,306,e,[81337 50126  2147],325348,325348,3253480
648518346349539864,89520,48128,1306,pyramidal,pyramidal cell,64,e,[89324 48310  1290],357296,357296,3572960
648518346349522230,52096,55232,1204,pyramidal,pyramidal cell,449,e,[52459 55350  1208],209836,209836,2098360
648518346349534072,109520,54048,482,pyramidal,pyramidal cell,112,e,[109357  54019    496],437428,437428,4374280
648518346349539506,93344,59840,2157,pyramidal,pyramidal cell,226,e,[93436 59909  2141],373744,373744,3737440
648518346349537981,51232,47056,977,pyramidal,pyramidal cell,287,e,[51116 47033   972],204464,204464,2044640
648518346349539334,92896,68368,408,pyramidal,pyramidal cell,336,e,[93149 68319   371],372596,372596,3725960
648518346349539594,62080,43840,226,pyramidal,pyramidal cell,98,e,[61868 44290   268],247472,247472,2474720
648518346349532067,114432,68400,2031,pyramidal,pyramidal cell,223,e,[114278  68677   2007],457112,457112,4571120
648518346349539856,89392,62304,1418,pyramidal,pyramidal cell,133,e,[89544 62477  1420],358176,358176,3581760
648518346349536205,58992,64336,908,pyramidal,pyramidal cell,192,e,[59112 64575   901],236448,236448,2364480
648518346349535264,48992,62352,472,pyramidal,pyramidal cell,258,e,[48904 62250   425],195616,195616,1956160
648518346349535102,118368,54080,1974,pyramidal,pyramidal cell,175,e,[118321  54112   1975],473284,473284,4732840
648518346349523266,111280,70704,1056,pyramidal,pyramidal cell,300,e,[111023  70656   1040],444092,444092,4440920
648518346349517132,92352,46992,2168,pyramidal,pyramidal cell,321,e,[92417 47005  2156],369668,369668,3696680
648518346349538056,77440,43776,265,pyramidal,pyramidal cell,24,e,[77437 43679   279],309748,309748,3097480
648518346349539851,104960,66544,631,pyramidal,pyramidal cell,334,e,[105082  66822    621],420328,420328,4203280
648518346349494004,80000,42304,24,pyramidal,pyramidal cell,279,e,[80037 42448    25],320148,320148,3201480
648518346349538387,60672,45936,1607,pyramidal,pyramidal cell,2,e,[60960 46118  1610],243840,243840,2438400
