id,pre_root_id,post_root_id,cleft_vx,ctr_pt_x_nm,ctr_pt_y_nm,ctr_pt_z_nm,pre_pos_x_vx,pre_pos_y_vx,pre_pos_z_vx,ctr_pos_x_vx,ctr_pos_y_vx,ctr_pos_z_vx,post_pos_x_vx,post_pos_y_vx,post_pos_z_vx,pre_cell_type,pre_cell_subtype,post_cell_type,post_cell_subtype
1165778,648518346349538791,648518346349539846,176,220088,234728,78040,54998,58636,1950,55022,58682,1951,55032,58738,1950,inhibitory,basket,inhibitory,basket
1936905,648518346349539846,648518346349538791,182,268032,277376,12200,67022,69334,308,67008,69344,305,66948,69362,307,inhibitory,basket,inhibitory,basket
1936905,648518346349539846,648518346349538791,182,268032,277376,12200,67022,69334,308,67008,69344,305,66948,69362,307,inhibitory,basket,inhibitory,basket
1165778,648518346349538791,648518346349539846,176,220088,234728,78040,54998,58636,1950,55022,58682,1951,55032,58738,1950,inhibitory,basket,inhibitory,basket
2050497,648518346349538791,648518346349539846,361,248016,203400,26320,61944,50836,659,62004,50850,658,62026,50904,659,inhibitory,basket,inhibitory,basket
1936905,648518346349539846,648518346349538791,182,268032,277376,12200,67022,69334,308,67008,69344,305,66948,69362,307,inhibitory,basket,inhibitory,basket
2535877,648518346349539846,648518346349538791,708,211064,254624,76440,52796,63580,1911,52766,63656,1911,52696,63588,1911,inhibitory,basket,inhibitory,basket
1165778,648518346349538791,648518346349539846,176,220088,234728,78040,54998,58636,1950,55022,58682,1951,55032,58738,1950,inhibitory,basket,inhibitory,basket
3480158,648518346349539846,648518346349538791,449,183416,232400,71080,45772,58138,1777,45854,58100,1777,45778,58034,1777,inhibitory,basket,inhibitory,basket
1165778,648518346349538791,648518346349539846,176,220088,234728,78040,54998,58636,1950,55022,58682,1951,55032,58738,1950,inhibitory,basket,inhibitory,basket
1677375,648518346349539215,648518346349538791,258,278768,198376,59000,69666,49654,1477,69692,49594,1475,69652,49546,1477,inhibitory,basket,inhibitory,basket
3063357,648518346349538791,648518346349539215,97,431992,275248,63840,107978,68860,1596,107998,68812,1596,107954,68776,1597,inhibitory,basket,inhibitory,basket
2407234,648518346349539215,648518346349538791,565,256600,231224,77440,64078,57796,1935,64150,57806,1936,64134,57880,1935,inhibitory,basket,inhibitory,basket
3063357,648518346349538791,648518346349539215,97,431992,275248,63840,107978,68860,1596,107998,68812,1596,107954,68776,1597,inhibitory,basket,inhibitory,basket
2749165,648518346349539215,648518346349538791,1236,257536,231800,67760,64354,58018,1692,64384,57950,1694,64306,57922,1692,inhibitory,basket,inhibitory,basket
3063357,648518346349538791,648518346349539215,97,431992,275248,63840,107978,68860,1596,107998,68812,1596,107954,68776,1597,inhibitory,basket,inhibitory,basket
2724299,648518346349539215,648518346349538791,1136,260080,225320,58080,65076,56392,1457,65020,56330,1452,64946,56292,1449,inhibitory,basket,inhibitory,basket
3063357,648518346349538791,648518346349539215,97,431992,275248,63840,107978,68860,1596,107998,68812,1596,107954,68776,1597,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
1714497,648518346349528994,648518346349539215,266,391656,218456,15000,97882,54560,377,97914,54614,375,97844,54646,377,inhibitory,basket,inhibitory,basket
2520721,648518346349539215,648518346349539846,691,247488,231720,55560,61896,57878,1390,61872,57930,1389,61798,57856,1390,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
1835025,648518346349539215,648518346349539846,294,248048,232904,55960,62042,58180,1399,62012,58226,1399,61948,58214,1399,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
2133935,648518346349538791,648518346349539846,394,211264,241200,37760,52778,60252,945,52816,60300,944,52796,60362,945,inhibitory,basket,inhibitory,basket
1936905,648518346349539846,648518346349538791,182,268032,277376,12200,67022,69334,308,67008,69344,305,66948,69362,307,inhibitory,basket,inhibitory,basket
3275377,648518346349539215,648518346349539846,282,249288,213792,34640,62350,53450,871,62322,53448,866,62250,53456,871,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
1451965,648518346349539215,648518346349539846,217,247344,218904,41480,61772,54688,1035,61836,54726,1037,61832,54776,1035,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
287537,648518346349539215,648518346349539846,276,320176,254228,27920,79988,63548,702,80044,63557,698,80072,63604,702,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
531494,648518346349539215,648518346349539846,107,247800,219704,42960,61992,54902,1074,61950,54926,1074,61898,54946,1074,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
3479587,648518346349539846,648518346349539215,56,390520,225320,47040,97582,56280,1177,97630,56330,1176,97552,56386,1177,inhibitory,basket,inhibitory,basket
2520721,648518346349539215,648518346349539846,691,247488,231720,55560,61896,57878,1390,61872,57930,1389,61798,57856,1390,inhibitory,basket,inhibitory,basket
1714497,648518346349528994,648518346349539215,266,391656,218456,15000,97882,54560,377,97914,54614,375,97844,54646,377,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
2956716,648518346349528994,648518346349539215,55,408932,198544,36400,102206,49658,911,102233,49636,910,102258,49608,909,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
2581409,648518346349528994,648518346349539215,777,391432,227016,32720,97806,56730,816,97858,56754,818,97876,56812,816,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
3501257,648518346349528994,648518346349539215,314,403772,204764,28040,100878,51236,701,100943,51191,701,100902,51140,701,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
3171572,648518346349528994,648518346349539215,203,390496,219016,16600,97726,54688,412,97624,54754,415,97692,54786,412,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
3210543,648518346349528994,648518346349539215,66,403328,205584,26080,100820,51338,653,100832,51396,652,100824,51442,654,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
3063357,648518346349538791,648518346349539215,97,431992,275248,63840,107978,68860,1596,107998,68812,1596,107954,68776,1597,inhibitory,basket,inhibitory,basket
1677375,648518346349539215,648518346349538791,258,278768,198376,59000,69666,49654,1477,69692,49594,1475,69652,49546,1477,inhibitory,basket,inhibitory,basket
2017126,648518346349538791,648518346349539215,348,392360,238008,21000,98064,59554,522,98090,59502,525,98010,59476,522,inhibitory,basket,inhibitory,basket
1677375,648518346349539215,648518346349538791,258,278768,198376,59000,69666,49654,1477,69692,49594,1475,69652,49546,1477,inhibitory,basket,inhibitory,basket
3239566,648518346349528994,648518346349539215,319,354364,213544,8200,88558,53442,199,88591,53386,205,88464,53392,199,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
1331790,648518346349528994,648518346349539215,198,429016,206584,21160,107186,51600,532,107254,51646,529,107228,51704,532,inhibitory,basket,inhibitory,basket
3534334,648518346349539215,648518346349528994,288,360148,238012,64520,89986,59462,1612,90037,59503,1613,90032,59550,1612,inhibitory,basket,inhibitory,basket
